ORIGINE	DESTINATION	Distance
1100115308	1100115304	510,42502
1100115308	1100115306	771,76257
1100115304	1100115302	1099,10779
1100115304	1100115305	842,47302
1100115304	1100118315	827,74347
1100115304	1100115308	510,42502
1100115304	1100117401	1160,13806
1100115304	1100115303	997,74616
1100115304	1100115301	1479,07776
1100115607	1100115606	1138,1355
1100115607	1100115626	1000,82135
1100115607	1100115614	929,78198
1100115607	1100116301	1068,30176
1100115607	1100116311	1602,44226
1100115607	1100116404	1080,84973
1100115607	1100115624	3606,40649
1100118410	1100118301	604,31311
1100118410	1100118416	940,38367
1100118410	1100118409	671,03967
1100118410	1100118411	630,00861
1100118410	1100118414	664,48846
1100115404	1100115502	1385,65002
1100115404	1100115405	492,74811
1100115404	1100115204	1010,57831
1100115404	1100115503	1365,06641
1100115404	1100115205	617,07874
1100115404	1100115403	1310,73962
1100115501	1100115510	408,90955
1100115501	1100115406	793,08063
1100115501	1100115502	877,44885
1100115501	1100115603	597,17059
1100118315	1100118307	874,638
1100118315	1100115304	827,74347
1100118315	1100118301	1081,01587
1100118315	1100118412	703,67383
1100116409	1100116401	694,74982
1100116409	1100116413	1617,22717
1100116409	1100116402	1215,49219
1100116409	1100116410	946,55286
1100116409	1100116408	1031,27734
1100116409	1100116417	1234,1156
1100116409	1100116412	1507,39136
1100116402	1100116403	941,1969
1100116402	1100116401	885,1474
1100116402	1100116409	1215,49219
1100116402	1100115624	2117,2522
1100116402	1100116405	756,06024
1100116402	1100116410	798,95465
1100116419	1100116412	879,13709
1100116419	1100116416	964,96948
1100115306	1100115201	577,4538
1100115306	1100115307	837,0835
1100115306	1100115205	896,82159
1100115306	1100115308	771,76257
1100115306	1100115305	908,29657
1100115306	1100115403	1213,4148
1100118301	1100118410	604,31311
1100118301	1100118411	699,75256
1100118301	1100118315	1081,01587
1100118301	1100118302	1008,09174
1100118301	1100118307	622,34357
1100118301	1100118409	1046,13306
1100115604	1100115605	433,0181
1100115604	1100115608	801,1499
1100115604	1100115614	710,52942
1100115604	1100115603	622,43787
1100115604	1100115509	578,00238
1100115510	1100115501	408,90955
1100115510	1100115603	634,61688
1100115510	1100115509	483,66544
1100115510	1100115502	568,07874
1100115502	1100115404	1385,65002
1100115502	1100115509	498,91516
1100115502	1100115501	877,44885
1100115502	1100115405	1452,10974
1100115502	1100115508	796,1601
1100115502	1100115506	1664,11743
1100115502	1100115510	568,07874
1100115502	1100115503	499,40048
1100115201	1100115306	577,4538
1100115201	1100115206	516,87946
1100115201	1100115205	966,57947
1100115201	1100115202	628,47644
1100115201	1100117405	791,15112
1100115201	1100115305	873,60962
1100115201	1100117406	755,21423
1100115605	1100115604	433,0181
1100115605	1100115508	625,06372
1100115605	1100115606	733,19373
1100115605	1100115509	658,63397
1100115605	1100115614	723,22565
1100118307	1100118315	874,638
1100118307	1100118303	1184,30139
1100118307	1100118308	495,25638
1100118307	1100118302	1121,9364
1100118307	1100118301	622,34357
1100115509	1100115508	505,75308
1100115509	1100115502	498,91516
1100115509	1100115510	483,66544
1100115509	1100115605	658,63397
1100115509	1100115604	578,00238
1100115503	1100115101	685,9953
1100115503	1100115506	1613,06421
1100115503	1100115404	1365,06641
1100115503	1100115115	782,92584
1100115503	1100115502	499,40048
1100116410	1100116408	566,02393
1100116410	1100116406	1238,49048
1100116410	1100116409	946,55286
1100116410	1100116402	798,95465
1100118318	1100118316	809,54327
1100118318	1100118317	845,51581
1100115206	1100115203	749,61176
1100115206	1100115201	516,87946
1100115206	1100115202	792,92133
1100115206	1100115204	533,6366
1100115206	1100115205	500,13904
1100115606	1100115607	1138,1355
1100115606	1100115614	1150,04236
1100115606	1100115605	733,19373
1100115606	1100115507	613,74646
1100115606	1100116311	1050,0846
1100115606	1100115508	866,10443
1100117401	1100118308	1175,21826
1100117401	1100115305	512,92621
1100117401	1100115304	1160,13806
1100117401	1100118314	590,09955
1100117401	1100117406	618,59436
1100117401	1100117402	639,32031
